school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Sir John Cass's Foundation Primary School,100000,City of London,E01032739,City of London 001F,-0.077504379,51.51397029,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,240,125,115,1.1,13.9,0.525,0.215,0.96,0.0463659,0.0083341,1.543485894,0.014,0.011,-1.56,1.771,-0.676,1
Argyle Primary School,100008,Camden,E01000941,Camden 025C,-0.123881774,51.5287501,Primary,Community school,Not applicable,Mixed,No religious character,429,210,220,1,20.5,0.852,0.27,0.84,0.0522817,0.0116792,0.753922316,0.271,0.178,1.164,17.189,0.509,2
Beckford Primary School,100009,Camden,E01000873,Camden 005C,-0.200147829,51.55068186,Primary,Community school,Not applicable,Mixed,No religious character,457,220,235,0.9,16.3,0.479,0.278,0.58,0.0556914,0.0089948,0.894903325,0.073,0.052,-0.453,8.386,-0.941,2
Brecknock Primary School,100010,Camden,E01000869,Camden 015E,-0.127813677,51.54746379,Primary,Community school,Not applicable,Mixed,No religious character,409,220,190,1.2,16.4,0.555,0.389,0.76,0.0655738,0.0183998,0.977382088,0.162,0.102,0.402,5.687,0.035,2
Brookfield Primary School,100011,Camden,E01000908,Camden 001B,-0.14455339,51.56354763,Primary,Community school,Not applicable,Mixed,No religious character,447,235,210,1.1,23.1,0.176,0.184,0.81,0.0554617,0.0079664,0.748615763,0.201,0.155,0.183,15.136,-0.156,2
Carlton Primary School,100012,Camden,E01000891,Camden 007C,-0.149672681,51.55117376,Primary,NA,NA,Mixed,NA,375,205,170,1.2,18.1,NA,0.403,0.88,NA,NA,NA,0.277,0.19,0.787,29.554,0.496,2
Edith Neville Primary School,100013,Camden,E01000953,Camden 022B,-0.131113154,51.53276835,Primary,Community school,Not applicable,Mixed,No religious character,225,105,120,0.9,16.8,0.876,0.391,0.72,0.0698603,0.0126441,0.401927537,0.256,0.132,1.685,23.08,0.572,2
Fleet Primary School,100014,Camden,E01000887,Camden 006B,-0.159814976,51.55326662,Primary,Community school,Not applicable,Mixed,No religious character,230,100,130,0.8,17.8,0.454,0.23,0.74,0.0648258,0.0063703,0.538325568,0.09,0.068,0.465,6.057,-0.864,2
Hawley Infant School,100015,Camden,E01000863,Camden 021A,-0.142764206,51.5405342,Primary,Community school,Not applicable,Mixed,No religious character,105,50,55,0.9,20.6,0.628,0.19,NA,0.0680387,0.0105784,NA,0.158,0.137,1.7,12.966,0.699,2
Netley Primary School,100018,Camden,E01000945,Camden 023B,-0.140409601,51.52754741,Primary,Community school,Not applicable,Mixed,No religious character,425,250,175,1.4,14.8,0.609,0.362,0.6,0.0725443,0.0209101,0.943872367,0.192,0.12,0.203,19.106,0.591,2
New End Primary School,100019,Camden,E01000899,Camden 002E,-0.176850756,51.55795683,Primary,Community school,Not applicable,Mixed,No religious character,432,225,205,1.1,19.4,0.713,0.155,0.79,0.0520839,0.006995,2.088744358,0.013,0.01,-0.007,3.102,-2.77,2
Primrose Hill School,100020,Camden,E01000862,Camden 018E,-0.151328466,51.53950938,Primary,Community school,Not applicable,Mixed,No religious character,488,265,220,1.2,23.4,0.594,0.273,0.9,0.0633027,0.0170644,1.071757713,0.046,0.037,0.975,0.973,-1.323,1
Rhyl Primary School,100021,Camden,E01000900,Camden 012A,-0.150562988,51.54771663,Primary,Community school,Not applicable,Mixed,No religious character,440,225,215,1,16.4,0.786,0.445,0.62,0.0631602,0.0180256,0.910606654,0.162,0.12,1.068,18.221,-0.065,2
Richard Cobden Primary School,100022,Camden,E01000952,Camden 022A,-0.136524609,51.53548029,Primary,Community school,Not applicable,Mixed,No religious character,451,230,225,1,16.7,0.913,0.306,0.83,0.0496721,0.0080563,0.73168256,0.23,0.156,0.988,22.022,0.303,1
Torriano Primary School,100023,Camden,E01000926,Camden 009E,-0.132814467,51.54967475,Primary,Community school,Not applicable,Mixed,No religious character,236,115,120,1,15.5,0.413,0.339,0.92,0.0517136,0.0140041,0.685126325,0.149,0.076,0.196,4.334,0.091,1
Gospel Oak Primary School,100025,Camden,E01000886,Camden 006A,-0.151765137,51.55506455,Primary,Community school,Not applicable,Mixed,No religious character,468,240,230,1,21.9,0.418,0.306,0.59,0.0631184,0.0111406,0.813101897,0.075,0.053,-0.251,3.934,-1.492,2
Fitzjohn's Primary School,100026,Camden,E01000897,Camden 008D,-0.175835669,51.55339983,Primary,Community school,Not applicable,Mixed,No religious character,229,110,115,1,16.2,0.736,0.079,0.79,0.0657864,0.0139723,1.014902325,0.03,0.028,0.187,1.759,-2.098,2
Eleanor Palmer Primary School,100027,Camden,E01000921,Camden 003C,-0.138987175,51.55463783,Primary,Community school,Not applicable,Mixed,No religious character,236,125,115,1.1,16.2,0.432,0.085,0.72,0.036467,0.0061113,0.682680688,0.086,0.061,0.657,3.194,-0.358,1
"Christ Church Primary School, Hampstead",100028,Camden,E01000899,Camden 002E,-0.176281806,51.55955765,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,182,90,95,0.9,15.2,0.557,0.033,0.88,0.0387106,0.0016939,1.549530048,0.013,0.01,-0.007,3.102,-2.77,1
Christ Church School,100029,Camden,E01000949,Camden 023C,-0.144213573,51.53114177,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,220,110,110,1,16.9,0.526,0.255,0.68,0.0601946,0.0079958,0.814848734,0.157,0.101,-0.754,16.538,0.13,2
Emmanuel Church of England Primary School,100030,Camden,E01000874,Camden 005D,-0.193619726,51.55235308,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,219,125,90,1.4,19.9,0.36,0.1,0.93,0.0374574,0.0025121,0.73590912,0.035,0.027,-0.65,2.621,-1.49,1
Hampstead Parochial Church of England Primary School,100031,Camden,E01000879,Camden 004B,-0.179540389,51.55635296,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,233,120,110,1.1,20.1,0.567,0.082,0.72,0.0515132,0.0119092,1.71110514,0.037,0.028,-0.304,3.902,-2.079,2
"Holy Trinity CofE Primary School, NW3",100032,Camden,E01000883,Camden 008C,-0.177870921,51.54614747,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,185,75,110,0.7,17.8,0.494,0.324,0.8,0.0705161,0.0295134,0.876486813,0.05,0.028,0.489,1.81,-1.602,2
"Holy Trinity and Saint Silas CofE Primary School, NW1",100033,Camden,E01000858,Camden 018B,-0.145790772,51.54412518,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,206,105,100,1.1,18.9,0.255,0.117,0.86,0.0373892,0.0020042,0.733223346,0.261,0.165,1.81,13.07,0.328,1
Kentish Town Church of England Primary School,100034,Camden,E01000921,Camden 003C,-0.139245494,51.54972295,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,251,140,110,1.3,13.6,0.435,0.279,0.79,0.0579634,0.0163726,0.681622636,0.086,0.061,0.657,3.194,-0.358,2
Rosary Roman Catholic Primary School,100035,Camden,E01000898,Camden 008E,-0.166757391,51.55208933,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,340,165,175,0.9,19.5,0.515,0.185,0.77,0.055797,0.006421,1.831315059,0.104,0.056,-0.889,8.946,-0.217,2
St Alban's Church of England Primary School,100036,Camden,E01000917,Camden 027C,-0.111000537,51.52020712,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,208,95,110,0.9,14.2,0.624,0.337,0.88,0.0733044,0.0209441,1.625272379,0.278,0.193,0.101,19.078,-0.055,1
St Aloysius Roman Catholic Junior School,100037,Camden,E01000955,Camden 022D,-0.134332029,51.53162354,Primary,NA,NA,Mixed,NA,235,115,120,1,18.5,NA,0.383,0.53,NA,NA,NA,0.218,0.159,0.817,32.989,0.238,2
St Aloysius Roman Catholic Infant School,100038,Camden,E01000955,Camden 022D,-0.132428378,51.53022636,Primary,NA,NA,Mixed,NA,196,105,95,1.1,17.5,NA,0.372,NA,NA,NA,NA,0.218,0.159,0.817,32.989,0.238,2
St Dominic's Catholic Primary School,100039,Camden,E01000892,Camden 006D,-0.157498846,51.55168356,Primary,NA,NA,Mixed,NA,296,160,140,1.1,16.7,NA,0.446,0.7,NA,NA,NA,0.142,0.085,0.421,8.699,-1.287,2
St George the Martyr Church of England Primary School,100040,Camden,E01000920,Camden 027D,-0.116575987,51.52237409,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,215,115,100,1.2,14.1,0.495,0.298,0.65,0.05878,0.0084445,0.863841414,0.113,0.068,-0.498,3.863,-0.664,1
St Josephs Primary School,100041,Camden,E01000918,Camden 028C,-0.121846971,51.51619064,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,225,115,110,1,16.6,0.485,0.262,0.85,0.0831356,0.0179737,2.042994822,0.131,0.086,0.323,9.457,-0.981,1
St Mary's Kilburn Church of England Primary School,100042,Camden,E01000933,Camden 020C,-0.193330069,51.54037047,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,227,115,110,1,22.5,0.651,0.291,0.96,0.0531428,0.0079154,1.074012465,0.159,0.104,1.344,9.524,-0.392,2
St Mary and St Pancras Church of England Primary School,100043,Camden,E01000954,Camden 022C,-0.134445242,51.53238073,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,233,115,120,1,14.6,0.347,0.326,0.73,0.0510576,0.0131153,0.482248254,0.27,0.175,-0.474,37.11,0.352,1
St Michael's Church of England Primary School,100044,Camden,E01000861,Camden 019B,-0.138366812,51.53909763,Primary,NA,NA,Mixed,NA,229,110,120,0.9,14.4,NA,0.424,0.48,NA,NA,NA,0.177,0.129,1.735,4.645,0.213,3
St Patrick's Catholic Primary School,100045,Camden,E01000922,Camden 007E,-0.142898439,51.54927722,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,226,110,115,1,16,0.5,0.385,0.75,0.0668952,0.0237675,0.96924562,0.16,0.103,0.236,9.155,0.111,2
St Paul's Church of England Primary School,100046,Camden,E01000967,Camden 017D,-0.162864389,51.54166895,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,210,100,110,0.9,20.4,0.332,0.157,0.83,0.0532319,0.0074811,0.918858789,0.057,0.04,0.463,3.478,-1.818,2
St Eugene de Mazenod Roman Catholic Primary School,100047,Camden,E01000933,Camden 020C,-0.193724516,51.54097005,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,209,95,115,0.8,18.3,0.505,0.344,0.87,0.0510477,0.0117224,1.07240832,0.159,0.104,1.344,9.524,-0.392,1
Our Lady Roman Catholic Primary School,100048,Camden,E01000861,Camden 019B,-0.137453314,51.5388673,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,199,95,100,1,15.5,0.45,0.447,0.74,0.0828246,0.0267409,1.47165568,0.177,0.129,1.735,4.645,0.213,2
Haverstock School,100049,Camden,E01000905,Camden 012D,-0.153203733,51.5448356,Secondary,Community school,Non-selective,Mixed,No religious character,1237,750,490,1.5,12.1,0.521,0.402,0.48,0.1019461,0.0581193,1.606134844,0.291,0.171,0.992,24.836,0.524,2
Parliament Hill School,100050,Camden,E01000912,Camden 001D,-0.149622302,51.55845696,Secondary,Community school,Non-selective,Girls,No religious character,1168,50,1120,0,11.9,0.325,0.255,0.65,0.0746885,0.0178445,1.938367463,0.181,0.107,0.737,11.16,-0.218,2
Regent High School,100051,Camden,E01000952,Camden 022A,-0.133927904,51.53374839,Secondary,Community school,Non-selective,Mixed,No religious character,800,440,360,1.2,13.3,0.59,0.504,0.38,0.0956214,0.0381422,1.559018285,0.23,0.156,0.988,22.022,0.303,2
Hampstead School,100052,Camden,E01000871,Camden 005A,-0.206953774,51.55587592,Secondary,Community school,Non-selective,Mixed,No religious character,1242,690,550,1.3,11.6,0.331,0.252,0.55,0.0673665,0.0087334,1.991789588,0.107,0.065,0.87,4.36,-1.253,2
Acland Burghley School,100053,Camden,E01000928,Camden 003E,-0.141105121,51.55753104,Secondary,Community school,Non-selective,Mixed,No religious character,1044,660,385,1.7,11.2,0.226,0.336,0.56,0.0756049,0.0244561,1.393996432,0.148,0.108,0.265,5.663,-0.177,3
The Camden School for Girls,100054,Camden,E01000865,Camden 015B,-0.134667233,51.54599024,Secondary,Voluntary aided school,Non-selective,Girls,No religious character,1012,140,870,0.2,15.2,0.233,0.209,0.77,0.0436754,0.0007429,1.338957208,0.061,0.046,0.422,2.631,-0.258,1
Maria Fidelis Roman Catholic Convent School FCJ,100055,Camden,E01000955,Camden 022D,-0.132052348,51.53060706,Secondary,Voluntary aided school,Non-selective,Mixed,Roman Catholic,605,70,535,0.1,10.4,0.464,0.371,0.49,0.0713582,0.0261147,3.478964992,0.218,0.159,0.817,32.989,0.238,2
William Ellis School,100056,Camden,E01000912,Camden 001D,-0.151081934,51.55874974,Secondary,Voluntary aided school,Non-selective,Boys,No religious character,835,775,60,12.9,12.3,0.371,0.313,0.53,0.0952978,0.0390214,1.951099129,0.181,0.107,0.737,11.16,-0.218,2
La Sainte Union Catholic Secondary School,100059,Camden,E01000910,Camden 003A,-0.14941539,51.56000041,Secondary,Voluntary aided school,Non-selective,Girls,Roman Catholic,1155,50,1105,0,14.4,0.538,0.178,0.78,0.0746338,0.0263579,4.515073692,0.051,0.048,0.657,1.228,-1.587,2
Millennium Primary School,100111,Greenwich,E01033732,Greenwich 036D,0.011344014,51.49357673,Primary,NA,NA,Mixed,NA,434,230,205,1.1,18.6,NA,0.202,0.93,NA,NA,NA,0.15,0.073,1.114,3.022,0.302,1
Alderwood Primary School,100112,Greenwich,E01033729,Greenwich 030E,0.086056815,51.44848478,Primary,NA,NA,Mixed,NA,251,125,125,1,13.5,NA,0.353,0.35,NA,NA,NA,0.154,0.1,-0.302,37.007,0.427,3
Bannockburn Primary School,100113,Greenwich,E01001673,Greenwich 006B,0.094663693,51.4871447,Primary,NA,NA,Mixed,NA,753,390,365,1.1,19.9,NA,0.136,0.95,NA,NA,NA,0.25,0.127,1.187,18.128,0.614,1
Morden Mount Primary School,100114,Greenwich,E01001638,Greenwich 038A,-0.01448475,51.47007787,Primary,Community school,Not applicable,Mixed,No religious character,381,200,180,1.1,17.8,0.608,0.308,0.74,0.0599422,0.0320453,0.868733699,0.203,0.11,0.022,12.399,0.633,2
Cherry Orchard Primary School,100115,Greenwich,E01001595,Greenwich 012D,0.032141632,51.47631169,Primary,Community school,Not applicable,Mixed,No religious character,239,115,125,0.9,14,0.461,0.29,0.9,0.0497783,0.0129457,0.652544955,0.158,0.094,0.565,19.998,-0.332,1
